Date,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2019/1/2,37.377,38.3281,37.2125,38.1048,153504636.2
2019/1/3,34.7431,35.1588,34.2635,34.3094,378427243
2019/1/4,34.8746,35.8446,34.6991,35.7729,242886638.3
2019/1/7,35.8786,35.9104,35.2046,35.6911,227016761
2019/1/8,36.0899,36.6342,35.8367,36.3711,170022160.9
2019/1/9,36.5016,37.2872,36.1059,36.9911,186905169.1
2019/1/10,36.7988,37.1477,36.399,37.1098,148286657.6
2019/1/11,36.8915,37.0849,36.5565,36.7479,111993038.9
2019/1/14,36.397,36.4967,36.0052,36.1976,134438472.1
2019/1/15,36.2623,37.0091,36.2105,36.9383,118984862.7
2019/1/16,36.9413,37.6133,36.9214,37.389,126690743.8
2019/1/17,37.2055,38.043,36.9802,37.6083,123588530.1
2019/1/18,38.0031,38.0958,37.6352,37.8376,139875145.7
2019/1/22,37.7389,37.8147,36.8287,36.9891,125962433
2019/1/23,37.1926,37.4378,36.6044,37.1357,95860558.06
2019/1/24,37.1826,37.2753,36.6144,36.8456,105438003.5
2019/1/25,37.5216,38.1546,37.2354,38.0679,139033312.8
2019/1/28,37.5933,37.7209,37.0749,37.7129,108548351.9
2019/1/29,37.701,38.1546,37.1826,37.3252,172350960.7
2019/1/30,39.3939,40.0927,38.6671,39.8714,253258672.1
2019/1/31,40.0837,40.7787,39.7059,40.1625,168838270.8
2019/2/1,40.2881,40.7737,40.0399,40.1794,135387323.5
2019/2/4,40.3938,41.4177,40.3658,41.3239,130527864.2
2019/2/5,41.7128,42.2441,41.5861,42.0278,149616807.5
2019/2/6,42.1375,42.3628,41.7098,42.0428,117033997.2
2019/2/7,41.5981,41.973,41.1026,41.2472,131547814.8
2019/2/8,40.9501,41.3599,40.8105,41.297,98296065.29
2019/2/11,41.4495,41.4875,41.0149,41.0568,86631992.56
2019/2/12,41.2202,41.4376,41.1246,41.4107,91955742.76
2019/2/13,41.5303,41.7975,41.1784,41.2402,92808754.72
2019/2/14,41.1266,41.5015,41.0458,41.3897,90107938.7
2019/2/15,41.4975,41.6081,41.1366,41.3,101625620.3
2019/2/19,41.1266,41.5433,41.0728,41.4197,78293733.43
2019/2/20,41.4815,42.0029,41.4346,41.6898,107764168.2
2019/2/21,41.633,41.7706,41.2701,41.4515,71182919.88
2019/2/22,41.5781,41.9232,41.5283,41.9152,78047492.63
2019/2/25,42.2013,42.622,42.1495,42.2193,90263140.66
2019/2/26,42.0926,42.4814,41.965,42.2441,70442355.87
2019/2/27,41.975,42.4077,41.8594,42.3757,114866210.1
2019/2/28,42.2411,42.3857,41.9032,41.961,116434433
2019/3/1,42.2311,42.4445,41.8952,42.3997,106822499.7
2019/3/4,42.5772,43.0766,42.1544,42.616,113218913.8
2019/3/5,42.639,42.6519,42.294,42.5382,81448923.17
2019/3/6,42.3259,42.5283,42.1475,42.289,85876649.61
2019/3/7,42.1295,42.2711,41.6878,41.8035,102325333
2019/3/8,41.2741,41.941,41.0748,41.9012,99036351.46
2019/3/11,42.5283,43.4016,42.4944,43.3528,132097527.5
2019/3/12,43.6199,44.266,43.4634,43.8423,133981542.6
2019/3/13,44.1613,44.4215,43.8453,44.0337,128059578.3
2019/3/14,44.5631,44.6129,44.239,44.5232,97303784.83
2019/3/15,44.7934,45.3925,44.5261,45.1024,161115451.2
2019/3/18,45.0227,45.6548,45.0207,45.563,108199411.8
2019/3/19,45.6448,45.8013,45.0526,45.2011,130592692.3
2019/3/20,45.1293,45.9209,44.7634,45.598,128070753.3
2019/3/21,46.0445,47.5769,45.9957,47.2728,210599149.1
2019/3/22,47.3346,47.9038,46.229,46.2958,175000526.8
2019/3/25,46.4104,46.5221,45.2191,45.7415,180933074.4
2019/3/26,46.4474,46.7405,44.7266,45.2659,205508132.6
2019/3/27,45.7435,45.9827,45.2071,45.6747,123173259.3
2019/3/28,45.7933,45.9369,45.4424,45.7365,85752757.87
2019/3/29,45.9997,46.0575,45.6926,46.0286,97239623.72
2019/4/1,46.4404,46.4503,45.6528,46.3436,114975865.5
2019/4/2,46.3058,47.1232,46.2958,47.0186,93945632.89
2019/4/3,46.8331,47.6197,46.8073,47.3376,96034112.83
2019/4/4,47.202,47.5869,46.8053,47.4183,78877440.45
2019/4/5,47.6068,47.7623,47.4781,47.7394,76452507.38
2019/4/8,47.5998,48.525,47.5799,48.4941,106804046.5
2019/4/9,48.543,49.1571,48.2807,48.3455,147602091.9
2019/4/10,48.1451,48.6446,48.0255,48.6148,89528317.11
2019/4/11,48.6706,48.7054,48.0873,48.2109,86249792.32
2019/4/12,48.2737,48.504,47.5479,48.191,114557860.4
2019/4/15,48.1192,48.4323,47.9836,48.2807,72367159.08
2019/4/16,48.3355,48.7962,48.1153,48.2857,106039344.1
2019/4/17,48.3555,49.2856,48.1272,49.2238,119287429.7
2019/4/18,49.2218,49.4711,49.0773,49.3994,99846847.12
2019/4/22,49.1531,49.6615,49.0335,49.5628,80219705.19
2019/4/23,49.5409,50.3435,49.4093,50.2766,96245231.83
2019/4/24,50.2467,50.5179,50.171,50.1989,72383516.83
2019/4/25,50.1212,50.3464,49.7063,49.7463,76520851.2
2019/4/26,49.6515,49.6765,48.9777,49.509,76957846.08
2019/4/29,49.5339,49.9138,49.3994,49.5827,91630534.82
2019/4/30,49.2059,49.2916,48.2509,48.6276,192032167
2019/5/1,50.8598,52.1768,50.7014,51.0174,267518065
2019/5/2,50.8518,51.5288,50.4371,50.6834,132036824.9
